description," Ergosta-5,7-dienol"," Ergosta-7,22-dienol",10-Formyl folic acid (10HCOFA),25-hydroxycholecalciferol,5-Formyltetrahydrofolic acid (5-HCOH4,5-methyl tetrahydrofolate (5-MTHF),Alanine,Arginine,Ash,Aspartic acid,Beta-glucan,Beta-sitostanol,Beta-sitosterol,Betaine,Biotin,"Boron, B",Brassicasterol,"Calcium, Ca",Campestanol,Campesterol,"Carbohydrate, by difference","Carbohydrate, by summation","Carotene, alpha","Carotene, beta","Carotene, gamma",Cholesterol,"Choline, free","Choline, from glycerophosphocholine","Choline, from phosphocholine","Choline, from phosphotidyl choline","Choline, from sphingomyelin","Choline, total",Citric acid,"Cobalt, Co","Copper, Cu","Cryptoxanthin, alpha","Cryptoxanthin, beta",Cysteine,Cystine,Daidzein,Daidzin,Delta-5-avenasterol,Delta-7-Stigmastenol,Energy,Energy (Atwater General Factors),Energy (Atwater Specific Factors),Ergosta-7-enol,Ergosterol,Ergothioneine,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fatty acids, total trans-dienoic","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic","Fiber, insoluble","Fiber, soluble","Fiber, total dietary","Folate, total",Fructose,Galactose,Genistein,Genistin,Glucose,Glutamic acid,Glutathione,Glycine,Glycitin,High Molecular Weight Dietary Fiber (HMWDF),Histidine,Hydroxyproline,"Iodine, I","Iron, Fe",Isoleucine,Lactose,Leucine,Low Molecular Weight Dietary Fiber (LMWDF),Lutein,Lutein + zeaxanthin,Lycopene,Lysine,MUFA 12:1,MUFA 14:1 c,MUFA 15:1,MUFA 16:1 c,MUFA 17:1,MUFA 17:1 c,MUFA 18:1,MUFA 18:1 c,MUFA 20:1,MUFA 20:1 c,MUFA 22:1,MUFA 22:1 c,MUFA 22:1 n-11,MUFA 22:1 n-9,MUFA 24:1 c,"Magnesium, Mg",Malic acid,Maltose,"Manganese, Mn",Methionine,"Molybdenum, Mo",Niacin,"Nickel, Ni",Nitrogen,Oxalic acid,PUFA 18:2,PUFA 18:2 CLAs,PUFA 18:2 c,"PUFA 18:2 n-6 c,c",PUFA 18:3,PUFA 18:3 c,"PUFA 18:3 n-3 c,c,c (ALA)","PUFA 18:3 n-6 c,c,c",PUFA 18:3i,PUFA 18:4,PUFA 20:2 c,"PUFA 20:2 n-6 c,c",PUFA 20:3,PUFA 20:3 c,PUFA 20:3 n-3,PUFA 20:3 n-6,PUFA 20:3 n-9,PUFA 20:4,PUFA 20:4c,PUFA 20:5 n-3 (EPA),PUFA 20:5c,PUFA 22:2,PUFA 22:3,PUFA 22:4,PUFA 22:5 c,PUFA 22:5 n-3 (DPA),PUFA 22:6 c,PUFA 22:6 n-3 (DHA),Pantothenic acid,Phenylalanine,"Phosphorus, P",Phytoene,Phytofluene,"Phytosterols, other","Potassium, K",Proline,Protein,Pyruvic acid,Quinic acid,Raffinose,Retinol,Riboflavin,SFA 10:0,SFA 11:0,SFA 12:0,SFA 14:0,SFA 15:0,SFA 16:0,SFA 17:0,SFA 18:0,SFA 20:0,SFA 21:0,SFA 22:0,SFA 23:0,SFA 24:0,SFA 4:0,SFA 5:0,SFA 6:0,SFA 7:0,SFA 8:0,SFA 9:0,"Selenium, Se",Serine,"Sodium, Na",Specific Gravity,Stachyose,Starch,Stigmastadiene,Stigmasterol,Sucrose,"Sugars, Total","Sulfur, S",TFA 14:1 t,TFA 16:1 t,TFA 18:1 t,TFA 18:2 t,TFA 18:2 t not further defined,TFA 18:3 t,TFA 20:1 t,TFA 22:1 t,Thiamin,Threonine,"Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma",Total Sugars,Total dietary fiber (AOAC 2011.25),Total fat (NLEA),Total lipid (fat),Tryptophan,Tyrosine,Valine,Verbascose,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin D4,Vitamin E (alpha-tocopherol),Vitamin K (Dihydrophylloquinone),Vitamin K (Menaquinone-4),Vitamin K (phylloquinone),Water,Zeaxanthin,"Zinc, Zn",cis-Lutein/Zeaxanthin,cis-Lycopene,cis-beta-Carotene,trans-Lycopene,trans-beta-Carotene
"Beans, Dry, Great Northern, 11F-8134 (0% moisture)",,,,,,,,,,,,,,,,987.0,,158.0,,,,,,,,,,,,,,,,46.0,0.984,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,6.45,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,2.0,,223.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.0,,,,1530.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,214.0,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,0.0,,3.16,,,,,
"Beans, Dry, Great Northern, 11F-8138 (0% moisture)",,,,,,,,,,,,,,,,1060.0,,189.0,,,,,,,,,,,,,,,,40.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,6.82,,,,,,,,,,,,,,,,,,,,,,,,167.0,,,1.72,,319.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.0,,,,1560.0,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,,,,,224.0,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,0.0,,3.18,,,,,
"Beans, Dry, Great Northern, 11F-8139 (0% moisture)",,,,,,,,,,,,,,,,1030.0,,247.0,,,,,,,,,,,,,,,,48.0,0.982,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,6.93,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,2.21,,549.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,,,,1550.0,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,231.0,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,0.0,,3.12,,,,,
"Beans, Dry, Great Northern, 11F-8141 (0% moisture)",,,,,,,,,,,,,,,,1120.0,,148.0,,,,,,,,,,,,,,,,46.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,7.82,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,1.87,,663.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0,,,,1520.0,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,237.0,,,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,0.0,,3.19,,,,,
"Beans, Dry, Great Northern, 11F-8145 (0% moisture)",,,,,,,,,,,,,,,,1040.0,,183.0,,,,,,,,,,,,,,,,40.0,0.804,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,1.8,,545.0,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.0,,,,1390.0,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,,218.0,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,0.0,,2.58,,,,,
"Beans, Dry, Great Northern, 11F-8152 (0% moisture)",,,,,,,,,,,,,,,,1010.0,,144.0,,,,,,,,,,,,,,,,46.0,0.963,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,5.95,,,,,,,,,,,,,,,,,,,,,,,,184.0,,,1.68,,199.0,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.0,,,,1490.0,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,,203.0,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,0.0,,3.06,,,,,
"Beans, Dry, Great Northern, 11F-8155 (0% moisture)",,,,,,,,,,,,,,,,1120.0,,192.0,,,,,,,,,,,,,,,,55.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,6.84,,,,,,,,,,,,,,,,,,,,,,,,166.0,,,2.36,,232.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,,,,1500.0,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,207.0,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,0.0,,2.81,,,,,
"Beans, Dry, Great Northern, 11F-8163 (0% moisture)",,,,,,,,,,,,,,,,1040.0,,183.0,,,,,,,,,,,,,,,,50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,6.85,,,,,,,,,,,,,,,,,,,,,,,,193.0,,,1.99,,588.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.0,,,,1550.0,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,,,,212.0,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,0.0,,3.24,,,,,
"Beans, Dry, Great Northern, 11F-8171 (0% moisture)",,,,,,,,,,,,,,,,1130.0,,171.0,,,,,,,,,,,,,,,,55.0,0.865,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,7.16,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,1.9,,207.0,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,,,,1700.0,,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,,,,233.0,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,0.0,,2.85,,,,,
"Beans, Dry, Great Northern, 11F-8172 (0% moisture)",,,,,,,,,,,,,,,,988.0,,165.0,,,,,,,,,,,,,,,,35.0,0.997,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,7.71,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,1.6,,593.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.0,,,,1540.0,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,212.0,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,0.0,,3.09,,,,,
"Beans, Dry, Great Northern, 11F-8184 (0% moisture)",,,,,,,,,,,,,,,,937.0,,157.0,,,,,,,,,,,,,,,,32.0,0.982,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,5.42,,,,,,,,,,,,,,,,,,,,,,,,171.0,,,1.64,,158.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.0,,,,1460.0,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,,,,207.0,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,0.0,,3.25,,,,,
"Beans, Dry, Great Northern, 11F-8185 (0% moisture)",,,,,,,,,,,,,,,,1140.0,,144.0,,,,,,,,,,,,,,,,37.0,0.978,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,6.23,,,,,,,,,,,,,,,,,,,,,,,,184.0,,,1.73,,341.0,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.0,,,,1580.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,,,,216.0,,,,,,,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,0.0,,3.42,,,,,
"Beans, Dry, Great Northern, 11F-8192 (0% moisture)",,,,,,,,,,,,,,,,1090.0,,160.0,,,,,,,,,,,,,,,,37.0,0.972,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,1.62,,256.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,,,,1490.0,,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,,,,,209.0,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,0.0,,3.21,,,,,
"Beans, Dry, Great Northern, 11F-8194 (0% moisture)",,,,,,,,,,,,,,,,811.0,,114.0,,,,,,,,,,,,,,,,36.0,0.859,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,6.11,,,,,,,,,,,,,,,,,,,,,,,,167.0,,,1.59,,188.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,,,,1440.0,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,204.0,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,0.0,,3.29,,,,,
"Beans, Dry, Great Northern, 235 (0% moisture)",,,,,,,,,,,,,,,,1380.0,,171.0,,,,,,,,,,,,,,,,68.0,1.36,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,5.78,,,,,,,,,,,,,,,,,,,,,,,,168.0,,,1.85,,458.0,,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.0,,,,1580.0,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,,,,249.0,,,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,0.0,,3.34,,,,,
"Beans, Dry, Great Northern, 293 (0% moisture)",,,,,,,,,,,,,,,,1260.0,,191.0,,,,,,,,,,,,,,,,45.0,1.15,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,172.0,,,1.58,,390.0,,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.0,,,,1520.0,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,226.0,,,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,0.0,,3.55,,,,,
"Beans, Dry, Great Northern, 306 (0% moisture)",,,,,,,,,,,,,,,,1150.0,,179.0,,,,,,,,,,,,,,,,63.0,1.35,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,5.95,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,2.18,,324.0,,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.0,,,,1520.0,,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,,,,,267.0,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,0.0,,3.38,,,,,
"Beans, Dry, Great Northern, 315 (0% moisture)",,,,,,,,,,,,,,,,1350.0,,151.0,,,,,,,,,,,,,,,,44.0,1.32,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,6.51,,,,,,,,,,,,,,,,,,,,,,,,158.0,,,1.97,,483.0,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.0,,,,1640.0,,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,,,,269.0,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,,,,0.0,,3.38,,,,,
"Beans, Dry, Great Northern, 327 (0% moisture)",,,,,,,,,,,,,,,,1260.0,,152.0,,,,,,,,,,,,,,,,50.0,1.09,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,185.0,,,1.56,,286.0,,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.0,,,,1570.0,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,221.0,,,,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,0.0,,3.28,,,,,
"Beans, Dry, Great Northern, 335 (0% moisture)",,,,,,,,,,,,,,,,1370.0,,208.0,,,,,,,,,,,,,,,,66.0,1.13,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,,188.0,,,2.06,,959.0,,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.0,,,,1670.0,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,216.0,,,,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,0.0,,3.27,,,,,
"Beans, Dry, Great Northern, 337 (0% moisture)",,,,,,,,,,,,,,,,1350.0,,171.0,,,,,,,,,,,,,,,,65.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,4.65,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,1.86,,355.0,,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,,,,1510.0,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,210.0,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,0.0,,3.01,,,,,
"Beans, Dry, Great Northern, 339 (0% moisture)",,,,,,,,,,,,,,,,1410.0,,198.0,,,,,,,,,,,,,,,,61.0,1.01,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,5.01,,,,,,,,,,,,,,,,,,,,,,,,173.0,,,1.88,,447.0,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.0,,,,1500.0,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,228.0,,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,0.0,,3.33,,,,,
"Beans, Dry, Great Northern, 341 (0% moisture)",,,,,,,,,,,,,,,,1250.0,,206.0,,,,,,,,,,,,,,,,55.0,1.18,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,195.0,,,1.89,,1040.0,,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.0,,,,1640.0,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,220.0,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,0.0,,3.2,,,,,
"Beans, Dry, Great Northern, 346 (0% moisture)",,,,,,,,,,,,,,,,1150.0,,181.0,,,,,,,,,,,,,,,,48.0,0.995,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,4.52,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,1.58,,397.0,,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.0,,,,1410.0,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,,,228.0,,,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,0.0,,3.34,,,,,
"Beans, Dry, Great Northern, 350 (0% moisture)",,,,,,,,,,,,,,,,1340.0,,166.0,,,,,,,,,,,,,,,,91.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,2.21,,470.0,,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.0,,,,1470.0,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,268.0,,,,,,,,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,,0.0,,3.29,,,,,
"Beans, Dry, Great Northern, 363 (0% moisture)",,,,,,,,,,,,,,,,1590.0,,211.0,,,,,,,,,,,,,,,,67.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,5.32,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,2.17,,1280.0,,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.0,,,,1550.0,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,243.0,,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,0.0,,3.66,,,,,
"Beans, Dry, Great Northern, 364 (0% moisture)",,,,,,,,,,,,,,,,1520.0,,170.0,,,,,,,,,,,,,,,,48.0,1.14,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,1.76,,983.0,,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.0,,,,1740.0,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,,,,,211.0,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,0.0,,3.22,,,,,
"Beans, Dry, Great Northern, 375 (0% moisture)",,,,,,,,,,,,,,,,1440.0,,195.0,,,,,,,,,,,,,,,,57.0,1.15,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,5.13,,,,,,,,,,,,,,,,,,,,,,,,187.0,,,1.98,,566.0,,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.0,,,,1520.0,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,245.0,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,0.0,,3.45,,,,,
"Beans, Dry, Great Northern, 379 (0% moisture)",,,,,,,,,,,,,,,,1540.0,,235.0,,,,,,,,,,,,,,,,40.0,1.14,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,3.76,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,1.57,,1060.0,,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.0,,,,1690.0,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,224.0,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,0.0,,3.51,,,,,
"Beans, Dry, Great Northern, 380 (0% moisture)",,,,,,,,,,,,,,,,1430.0,,239.0,,,,,,,,,,,,,,,,58.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,4.66,,,,,,,,,,,,,,,,,,,,,,,,169.0,,,1.99,,1060.0,,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.0,,,,1480.0,,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,,,,225.0,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,0.0,,3.13,,,,,
"Beans, Dry, Great Northern, 384 (0% moisture)",,,,,,,,,,,,,,,,1380.0,,217.0,,,,,,,,,,,,,,,,56.0,0.975,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,164.0,,,1.95,,286.0,,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,,1500.0,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,209.0,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,0.0,,3.2,,,,,
"Beans, Dry, Great Northern, 385 (0% moisture)",,,,,,,,,,,,,,,,1440.0,,226.0,,,,,,,,,,,,,,,,62.0,0.958,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,4.73,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,2.4,,242.0,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.0,,,,1520.0,,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,,,,214.0,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,0.0,,3.31,,,,,
"Beans, Dry, Great Northern, 387 (0% moisture)",,,,,,,,,,,,,,,,1170.0,,146.0,,,,,,,,,,,,,,,,46.0,1.07,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,4.39,,,,,,,,,,,,,,,,,,,,,,,,175.0,,,1.75,,414.0,,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.0,,,,1690.0,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,,,,,210.0,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,0.0,,3.26,,,,,
"Beans, Dry, Great Northern, 392 (0% moisture)",,,,,,,,,,,,,,,,1440.0,,232.0,,,,,,,,,,,,,,,,58.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,5.38,,,,,,,,,,,,,,,,,,,,,,,,163.0,,,2.17,,1270.0,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.0,,,,1510.0,,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,248.0,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,0.0,,3.28,,,,,
"Beans, Dry, Great Northern, 396 (0% moisture)",,,,,,,,,,,,,,,,1310.0,,204.0,,,,,,,,,,,,,,,,65.0,1.03,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,1.92,,253.0,,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.0,,,,1500.0,,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,,,,,211.0,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,0.0,,3.12,,,,,
"Beans, Dry, Great Northern, 401 (0% moisture)",,,,,,,,,,,,,,,,1380.0,,232.0,,,,,,,,,,,,,,,,69.0,1.29,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,5.63,,,,,,,,,,,,,,,,,,,,,,,,191.0,,,2.15,,1150.0,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.0,,,,1700.0,,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,,,,,224.0,,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,0.0,,3.92,,,,,
"Beans, Dry, Great Northern, 402 (0% moisture)",,,,,,,,,,,,,,,,1520.0,,164.0,,,,,,,,,,,,,,,,53.0,1.33,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,4.73,,,,,,,,,,,,,,,,,,,,,,,,187.0,,,1.84,,1230.0,,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.0,,,,1570.0,,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,258.0,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,0.0,,3.51,,,,,
"Beans, Dry, Great Northern, 406 (0% moisture)",,,,,,,,,,,,,,,,1370.0,,207.0,,,,,,,,,,,,,,,,46.0,1.27,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,1.87,,933.0,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.0,,,,1580.0,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,,,,,240.0,,,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,0.0,,3.6,,,,,
